cluster_id,bucket,dedup_role,canonical_cluster_id,kinds,total_chars
85169,KEEP,canonical,85169,headnotes;summary;headmatter,2497
85170,KEEP,canonical,85170,headnotes;summary;headmatter,9307
85171,KEEP,canonical,85171,headnotes;summary;headmatter,28267
85172,KEEP,canonical,85172,headnotes;summary;headmatter,10914
85173,KEEP,canonical,85173,headnotes;summary;headmatter,8285
85174,KEEP,canonical,85174,headnotes;summary;headmatter,12525
85175,KEEP,canonical,85175,headnotes;summary;headmatter,6898
85176,KEEP,canonical,85176,headnotes;summary;headmatter,32021
85177,KEEP,canonical,85177,headnotes;headmatter,1065
85178,KEEP,canonical,85178,headnotes;summary;headmatter,11386
85179,KEEP,canonical,85179,headnotes;summary;headmatter,4723
85180,KEEP,canonical,85180,headnotes;summary;headmatter,3202
85181,KEEP,canonical,85181,headnotes;headmatter,1443
85182,KEEP,canonical,85182,headnotes;summary;headmatter,26425
85183,KEEP,canonical,85183,headnotes;summary;headmatter,19265
85184,KEEP,canonical,85184,headnotes;summary;headmatter,12996
85185,KEEP,canonical,85185,headnotes;summary;headmatter,12799
85189,KEEP,canonical,85189,headnotes;summary;headmatter,1659
85190,KEEP,canonical,85190,headnotes;headmatter,6523
85191,KEEP,canonical,85191,headnotes;summary;headmatter,5789
85192,KEEP,canonical,85192,headnotes;summary;headmatter,41984
85194,KEEP,canonical,85194,headnotes;summary;headmatter,36572
85195,KEEP,canonical,85195,headnotes;summary;headmatter,1235
85196,KEEP,canonical,85196,headnotes;summary;headmatter,5779
85197,KEEP,canonical,85197,headnotes;summary;headmatter,26246
85198,KEEP,canonical,85198,headnotes;headmatter,4391
85199,KEEP,canonical,85199,headnotes;summary;headmatter,7667
85200,KEEP,canonical,85200,headnotes;summary;headmatter,12010
85201,KEEP,canonical,85201,headnotes;summary;headmatter,13296
85202,KEEP,canonical,85202,headnotes;summary;headmatter,38905
85203,KEEP,canonical,85203,headnotes;summary;headmatter,15006
85204,KEEP,canonical,85204,headnotes;summary;headmatter,4728
85205,KEEP,canonical,85205,headnotes;summary;headmatter,2859
85206,KEEP,canonical,85206,headnotes;summary;headmatter,9839
85207,KEEP,canonical,85207,headnotes;headmatter,1699
85208,KEEP,canonical,85208,headnotes;headmatter,1414
85209,KEEP,canonical,85209,headnotes;summary;headmatter,1200
85210,KEEP,canonical,85210,headnotes;summary;headmatter,10060
85212,KEEP,canonical,85212,headnotes;summary;headmatter,99311
85213,KEEP,canonical,85213,headnotes;summary;headmatter,40421
85215,KEEP,canonical,85215,headnotes;summary;headmatter,857
85219,KEEP,canonical,85219,headnotes;summary;headmatter,1103
85221,KEEP,canonical,85221,headnotes;summary;headmatter,16753
85222,KEEP,canonical,85222,headnotes;summary;headmatter,7938
85224,KEEP,canonical,85224,headnotes;summary;headmatter,18723
